,State Code,State,PrecipitationPercentIncrease2100,PrecipitationPercentInc1958,SeaLevelRiseInches1950,amountPaidOnContentsClaim,cumulative_risk_score,projectAmountMillions,numberOfProperties,projectCount,bill_count,cumulative_response_score,PercentPropertiesAtRisk2050FSF,Region
34,UT,Utah,0.808963267,-1.2533135,-0.458616515,-0.340279182,-1.24324593,-0.443585994,-0.47191323,-0.883639816,-0.627352249,-2.4264912880000002,0.09,West
35,OR,Oregon,0.808963267,-1.312939423,-0.450727269,-0.319620229,-1.274323654,-0.38275689700000004,-0.43663230399999997,-0.409463526,,-1.228852728,0.148,West
36,ID,Idaho,0.808963267,-1.312939423,-0.458616515,-0.340253339,-1.302846009,-0.528774671,-0.587246783,-0.738869179,-0.627352249,-2.482242881,0.159,West
37,MT,Montana,-0.50775354,-0.12042098,-0.458616515,-0.340167535,-1.426958569,-0.501524734,-0.632843769,-0.6276685439999999,-0.6811580079999999,-2.4431950540000003,0.149,West
38,WY,Wyoming,-0.50775354,-0.12042098,-0.458616515,-0.340400297,-1.4271913319999998,-0.5471395170000001,-0.627066775,-1.005331076,-0.788769525,-2.9683068919999998,0.111,West
39,AR,Arkansas,-0.50775354,-0.23967282399999998,-0.458616515,-0.304688301,-1.510731179,-0.283506184,0.048841487999999995,-0.20804351,-0.627352249,-1.070060455,0.103,South
40,NV,Nevada,0.370057665,-1.2533135,-0.458616515,-0.325727248,-1.667599598,-0.530135035,-0.638001799,-0.954976072,,-2.123112906,0.039,West
41,KS,Kansas,-0.946659142,-0.12042098,-0.458616515,-0.310730401,-1.836427038,-0.326188853,-0.23980187600000002,-0.26469289,-0.7349637659999999,-1.565647385,0.082,Midwest
42,ND,North Dakota,-0.946659142,-0.12042098,-0.458616515,-0.312915198,-1.838611835,-0.18891853600000003,-0.23691337899999998,-0.130412878,-0.7349637659999999,-1.29120856,0.093,Midwest
43,NE,Nebraska,-0.946659142,-0.12042098,-0.458616515,-0.32284373,-1.848540366,-0.421972164,-0.495640168,-0.23531913699999998,-0.519740732,-1.672672201,0.09,Midwest
44,SD,South Dakota,-0.946659142,-0.12042098,-0.458616515,-0.333163832,-1.8588604690000001,-0.423740634,-0.56104399,0.08779214,,-0.8969924840000001,0.099,Midwest
45,AZ,Arizona,-0.946659142,-1.2533135,-0.458616515,-0.33011309899999997,-2.9887022560000003,-0.510260398,-0.601482946,-0.843775437,-0.143100422,-2.098619202,0.037,West
46,OK,Oklahoma,-1.385564744,-1.1340616559999999,-0.458616515,-0.274092491,-3.2523354060000003,-0.157430294,3.977609847,1.233368484,-0.7349637659999999,4.31858427,0.075,South
47,CO,Colorado,-1.385564744,-1.2533135,-0.458616515,-0.329389797,-3.426884556,-0.28016866100000004,-0.559806063,-0.6150797929999999,-0.627352249,-2.082406766,0.059,West
48,NM,New Mexico,-1.385564744,-1.2533135,-0.458616515,-0.339934165,-3.437428925,-0.521199756,-0.6460483260000001,-0.8668548140000001,-0.412129215,-2.446232111,0.087,West
49,HI,Hawaii,-2.7022815510000004,-2.505457865,0.862306094,-0.315547129,-4.660980451,-0.515020688,-0.643572471,-0.952877946,0.610180198,-1.5012909069999998,,West
50,AK,Alaska,-2.7022815510000004,-0.895557968,-4.6813349660000005,-0.340334959,-8.619509444,-0.46985432,-0.544331972,-0.623472294,-0.788769525,-2.426428111,,West
